Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Custom Metafield: custom.dimensions [single_line_text_field],Custom Metafield: custom.lead_time [single_line_text_field],Custom Metafield: custom.materials [multi_line_text_field],Custom Metafield: custom.badge [single_line_text_field],Custom Metafield: custom.badge_label [single_line_text_field],Custom Metafield: custom.cta_label [single_line_text_field],Custom Metafield: custom.order_type [single_line_text_field],Custom Metafield: custom.enquire_only [boolean]
bahamas-hampton,The Bahamas Hampton,"<p>Bamboo & wicker armchair with Schumacher seat pad & back cushion. 100% handmade — each piece unique.</p>",Nazly Habib Design,Seating,"seating, bestseller",TRUE,Title,Default Title,NHD-BAH-001,shopify,5,deny,manual,1200,TRUE,TRUE,draft,W65 × H83 × D65 cm,2–3 days delivery,"Bamboo & wicker · Schumacher seat pad & back cushion",best,Bestseller,Add to cart,in-stock,FALSE
hamptons-schumacher,Hamptons × Schumacher,"<p>Bamboo & wicker armchair with Brunschwig & Fils upholstery. Each piece unique.</p>",Nazly Habib Design,Seating,"seating, bestseller",TRUE,Title,Default Title,NHD-HSC-001,shopify,0,continue,manual,1400,TRUE,TRUE,draft,W65 × H83 × D65 cm,Pre-order 3–4 weeks,"Bamboo & wicker · Brunschwig & Fils upholstery · Each piece unique",best,Bestseller,Pre-order,pre-order,FALSE
hamptons-schumacher-floral,Hamptons × Schumacher Floral,"<p>Bamboo & wicker armchair in Schumacher floral. Last pair available.</p>",Nazly Habib Design,Seating,seating,TRUE,Title,Default Title,NHD-HSF-001,shopify,2,deny,manual,1400,TRUE,TRUE,draft,W68 × H83 × D72 cm,1 week delivery,"Bamboo & wicker · Schumacher floral · Last pair available",,,Add to cart,in-stock,FALSE
riviera-rattan,The Riviera Rattan,"<p>100% handmade wicker & bamboo armchair in dark brown. Each chair truly unique.</p>",Nazly Habib Design,Seating,"seating, enquire",TRUE,Title,Default Title,NHD-RIV-001,shopify,0,continue,manual,0,TRUE,TRUE,draft,W50 × D50 × H98 cm,Contact for lead time,"100% handmade wicker & bamboo · Dark brown · Each chair truly unique",,,Enquire,enquire,TRUE
amalfi-grande,The Amalfi Grande,"<p>Handcrafted wrought iron frame with crisp white upholstery and beige & white piping. Fabric customisation available.</p>",Nazly Habib Design,Seating,"seating, new-in, enquire",TRUE,Title,Default Title,NHD-AMA-001,shopify,0,continue,manual,0,TRUE,TRUE,draft,W300 × D80 × H75 cm,Contact for lead time,"Handcrafted wrought iron frame · Crisp white upholstery · Beige & white piping · Fabric customisation available",new,New,Enquire,enquire,TRUE
miniature-chair,The Miniature Chair,"<p>A handcrafted miniature accent chair — charming detail piece.</p>",Nazly Habib Design,Seating,seating,TRUE,Title,Default Title,NHD-MIN-001,shopify,3,deny,manual,350,TRUE,TRUE,draft,W30 × D30 × H45 cm,1–2 weeks,"Handmade wicker & bamboo",,,Add to cart,in-stock,FALSE
x-stool,The X Stool Collection,"<p>A masterpiece of timeless and playful design. Each pair upholstered in a different designer fabric. Sold as pairs.</p>",Nazly Habib Design,Stools,"stools, bestseller",TRUE,Fabric,GP & J Baker,NHD-XST-GPJ,shopify,4,deny,manual,650,TRUE,TRUE,draft,W47 × D62 × H48 cm,Immediate delivery,"Designer fabric upholstery · Sold as a pair",best,Bestseller,Add pair,in-stock,FALSE
x-stool,,,,,,,Fabric,Zoffany,NHD-XST-ZOF,shopify,2,deny,manual,650,TRUE,TRUE,draft,,,,,,,,
x-stool,,,,,,,Fabric,Colefax & Fowler,NHD-XST-COL,shopify,0,continue,manual,720,TRUE,TRUE,draft,,,,,,,,
x-stool,,,,,,,Fabric,Chinoiserie,NHD-XST-CHI,shopify,2,deny,manual,680,TRUE,TRUE,draft,,,,,,,,
